"LAST_UPDATE","COUNTRY_REGION","PROVINCE_STATE","CONFIRMED","DEATHS","RECOVERED","ACTIVE"
"2020-04-09 00:00:00","US","Oklahoma","1686","80","0","0"
"2020-04-09 00:00:00","US","Texas","11208","210","0","0"
"2020-04-09 00:00:00","US","Wisconsin","2886","111","0","0"
"2020-04-10 00:00:00","US","Colorado","6202","226","0","0"
"2020-04-10 00:00:00","US","Minnesota","1336","57","0","0"
"2020-04-10 00:00:00","US","Oklahoma","1794","88","0","0"
"2020-04-10 00:00:00","US","Texas","12105","238","0","0"
"2020-04-10 00:00:00","US","Wisconsin","3068","128","0","0"
"2020-04-11 00:00:00","US","Colorado","6513","250","0","0"
"2020-04-11 00:00:00","US","Minnesota","1427","64","0","0"
"2020-04-11 00:00:00","US","Oklahoma","1868","94","0","0"
"2020-04-11 00:00:00","US","Texas","13023","266","0","0"
"2020-04-11 00:00:00","US","Wisconsin","3213","137","0","0"
"2020-04-12 00:00:00","US","Colorado","7307","289","0","7018"
"2020-04-12 00:00:00","US","Minnesota","1621","70","0","1551"
"2020-04-12 00:00:00","US","Oklahoma","1970","96","0","1874"
"2020-04-12 00:00:00","US","Texas","13677","283","0","13394"
"2020-04-12 00:00:00","US","Wisconsin","3341","144","0","3197"
"2020-04-13 00:00:00","US","Colorado","7691","306","0","7385"
"2020-04-13 00:00:00","US","Minnesota","1621","70","0","1551"
"2020-04-13 00:00:00","US","Oklahoma","2069","99","0","1970"
"2020-04-13 00:00:00","US","Texas","14275","305","0","13970"
"2020-04-13 00:00:00","US","Wisconsin","3428","154","0","3274"
"2020-04-14 00:00:00","US","Colorado","7950","327","0","7623"
"2020-04-14 00:00:00","US","Minnesota","1695","79","0","1616"
"2020-04-14 00:00:00","US","Oklahoma","2184","108","0","2076"
"2020-04-14 00:00:00","US","Texas","15006","342","0","14664"
"2020-04-14 00:00:00","US","Wisconsin","3555","170","0","3385"
"2020-04-15 00:00:00","US","Colorado","7956","328","0","7628"
"2020-04-15 00:00:00","US","Minnesota","1809","87","0","1722"
"2020-04-15 00:00:00","US","Oklahoma","2263","123","0","2140"
"2020-04-15 00:00:00","US","Texas","15907","375","0","15532"
"2020-04-15 00:00:00","US","Wisconsin","3721","183","0","3538"
"2020-04-16 00:00:00","US","Colorado","8286","355","0","7931"
"2020-04-16 00:00:00","US","Minnesota","1809","87","0","1722"
"2020-04-16 00:00:00","US","Oklahoma","2357","131","0","2226"
"2020-04-16 00:00:00","US","Texas","16876","414","0","16462"
"2020-04-16 00:00:00","US","Wisconsin","3875","197","0","3678"
"2020-04-17 00:00:00","US","Colorado","8691","372","0","8319"
"2020-04-17 00:00:00","US","Minnesota","2070","111","0","1959"
"2020-04-17 00:00:00","US","Oklahoma","2465","136","0","2329"
"2020-04-17 00:00:00","US","Texas","17849","451","0","17398"
"2020-04-17 00:00:00","US","Wisconsin","4053","206","0","3847"
"2020-04-18 00:00:00","US","Colorado","9047","389","0","8658"
"2020-04-18 00:00:00","US","Minnesota","2209","121","0","2088"
"2020-04-18 00:00:00","US","Oklahoma","2465","136","0","2329"
"2020-04-18 00:00:00","US","Texas","18704","476","0","18228"
"2020-04-18 00:00:00","US","Wisconsin","4199","212","0","3987"
"2020-04-19 00:00:00","US","Colorado","9730","420","0","9310"
"2020-04-19 00:00:00","US","Minnesota","2356","134","0","2222"
"2020-04-19 00:00:00","US","Oklahoma","2567","140","0","2427"
"2020-04-19 00:00:00","US","Texas","19260","490","0","18770"
"2020-04-19 00:00:00","US","Wisconsin","4346","220","0","4126"
"2020-04-20 00:00:00","US","Colorado","9730","420","0","9310"
"2020-04-20 00:00:00","US","Minnesota","2470","143","0","2327"
"2020-04-20 00:00:00","US","Oklahoma","2680","143","0","2537"
"2020-04-20 00:00:00","US","Texas","19751","507","0","19244"
"2020-04-20 00:00:00","US","Wisconsin","4499","230","0","4269"
"2020-04-21 00:00:00","US","Colorado","10473","483","0","9990"
"2020-04-21 00:00:00","US","Minnesota","2567","160","0","2407"
"2020-04-21 00:00:00","US","Oklahoma","2807","164","0","2643"
"2020-04-21 00:00:00","US","Texas","20574","533","0","20041"
"2020-04-21 00:00:00","US","Wisconsin","4625","244","0","4381"
"2020-04-22 00:00:00","US","Colorado","10891","506","0","10385"
"2020-04-22 00:00:00","US","Minnesota","2722","179","0","2543"
"2020-04-22 00:00:00","US","Oklahoma","2894","170","0","2724"
